ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
2338	16	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2339	6	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
2340	85	1	1	0.000000	1.058824	1.058824	0.000000	0.000000	0	0	0
2341	11	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2342	33	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2343	15	1	1	0.000000	2.266667	2.266667	0.000000	0.000000	0	0	0
2344	74	1	1	0.000000	1.162162	1.162162	0.000000	0.000000	0	0	0
2345	2	1	1	0.000000	2.500000	2.500000	0.000000	0.000000	0	0	0
2346	81	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2347	69	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2348	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2349	61	2	1	0.000000	1.196721	1.196721	0.000000	0.000000	0	0	0
2350	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2351	31	1	1	0.000000	1.548387	1.548387	0.000000	0.000000	0	0	0
2352	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2353	5	2	2	0.000000	607.000000	2.000000	0.000000	0.000000	0	0	0
2354	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2355	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2356	77	0	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2357	12	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2358	4	2	1	0.000000	2.500000	2.500000	0.000000	0.000000	0	0	0
2359	30	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2360	29	1	1	0.000000	1.758621	1.758621	0.000000	0.000000	0	0	0
2361	2	1	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
2362	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
